Glottocode,split.Pro.1.incl.excl,split.Pro.3.human,split.Pro.3.animate,split.DEM.human,split.DEM.animate,split.N.kin,split.N.human,split.N.animate
nand1266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
naur1243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
nava1243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ngit1239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
niha1238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
nina1238,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
nort2699,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
nort2723,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
nort2745,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
nort2942,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
nort2954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
nort2972,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
nucl1235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
nucl1240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
nucl1301,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
nucl1305,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
nucl1633,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
nucl1643,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
nung1282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
nupe1254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
oksa1245,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
omag1248,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
onge1236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
oriy1255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
otta1242,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
paco1243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pali1279,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
para1311,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
para1316,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pare1272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
piap1246,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
pila1245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
pima1248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pipi1250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
pott1240,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
puri1258,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
rama1270,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
raoo1244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
resi1247,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
rong1264,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
sadr1248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
saka1289,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
sanm1295,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sant1410,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
sapu1248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sate1243,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
